question,document,type,order,text,pmid
1061,0,1_title,0,Hirschsprung associated GDNF mutations do not prevent RET activation.  ,11973622
1061,0,2_abstract_sentence,0,Hirschsprung disease (HSCR) is a complex disorder characterised by aganglia of distal gastrointestinal tracts. ,11973622
1061,0,2_abstract_sentence,1,The highest proportion of both familial and sporadic cases is due to mutations of the RET proto-oncogene. ,11973622
1061,0,2_abstract_sentence,2,"Five germline mutations in the glial cell-line-derived neurotrophic factor (GDNF) gene, one of  the RET ligands, have been detected in HSCR patients. ",11973622
1061,0,2_abstract_sentence,3,Pedigrees analysis and the  observed association between these GDNF alterations and RET variants in the same  patients raised the question of whether the GDNF gene plays any causative/predisposing role in HSCR pathogenesis. ,11973622
1061,0,2_abstract_sentence,4,"In the present work, we have studied the ability of GDNF proteins, each bearing one of the reported mutations, to activate RET by performing a functional test in cultured neuroblastoma cells. ",11973622
1061,0,2_abstract_sentence,5," Consistently with the lack of genotype/phenotype correlation in human subjects, our results indicate absence of detectable alterations of mutant GDNF induced RET activation. ",11973622
1061,1,1_title,0,Grb2 binding to the different isoforms of Ret tyrosine kinase.  ,9764818
1061,1,2_abstract_sentence,0,The RET proto-oncogene encodes two isoforms of a receptor tyrosine kinase which plays a role in neural crest and kidney development. ,9764818
1061,1,2_abstract_sentence,1,Ret ligands have been recently identified as the neuron survival factor GDNF (Glial-Derived Neurotrophic Factor) and Neurturin. ,9764818
1061,1,2_abstract_sentence,2,"Somatic rearrangements of RET, designated RET/PTCs, have been frequently detected in papillary thyroid carcinomas. ",9764818
1061,1,2_abstract_sentence,3,"In addition, distinct germ-line mutations of RET gene have been associated with the  inherited cancer syndromes MEN (Multiple Endocrine Neoplasia) 2A, 2B and FMTC (Familial Medullar Thyroid Carcinomas) as well as with the congenital megacolon or Hirschsprung's disease, thus enlightening a significant role of this receptor  gene in diverse human pathologic conditions. ",9764818
1061,1,2_abstract_sentence,4,"In this study, by performing classical inhibition experiments using synthetic phosphopeptides and by site-directed mutagenesis of the putative docking site, we have determined that for Grb2 the latter is provided by the tyrosine 620 of Ret/ptc2 long isoform (corresponding to Tyr 1096 on proto-Ret). ",9764818
1061,1,2_abstract_sentence,5,"However, in intact cells, the interaction of Grb2 with the two short and long Ret isoforms expressed separately is of similar strength, thus suggesting that Ret short isoform interaction with Grb2 could be mediated not only by Shc but also by a molecule that binds preferentially to this isoform. ",9764818
1061,1,2_abstract_sentence,6,"This possibility is supported by the evidence that the mutant Ret/ptc2Y620F long isoform displays a weak coimmunoprecipitation  with Grb2 and that this mutant, lacking the docking site for Grb2 but owing all the others phosphotyrosines, surprisingly displays a reduced transforming activity compared to that of the two WTs oncogenes. ",9764818
1061,1,2_abstract_sentence,7,"We thus conclude that in intact cells both Ret isoforms bind to Grb2, although with different modalities. ",9764818
1061,1,2_abstract_sentence,8," In addition, the present results are in agreement with the possibility that different signal transduction pathways are associated with the two isoforms of Ret. ",9764818
1061,2,1_title,0,"Mutation analysis of glial cell line-derived neurotrophic factor, a ligand for an RET/coreceptor complex, in multiple endocrine neoplasia type 2 and sporadic neuroendocrine tumors.  ",9284737
1061,2,2_abstract_sentence,0,Causative germline missense mutations in the RET proto-oncogene have been associated with over 92% of families with the inherited cancer syndrome multiple  endocrine neoplasia type 2 (MEN 2). ,9284737
1061,2,2_abstract_sentence,1,"MEN 2A is characterized primarily by medullary thyroid carcinoma (MTC) and pheochromocytoma, both tumors of neural crest origin. ",9284737
1061,2,2_abstract_sentence,2,"Parathyroid hyperplasia or adenoma is also seen in MEN 2A, but rarely in MEN 2B, which has additional stigmata, including a marfanoid habitus, mucosal neuromas, and ganglioneuromatosis of the gastrointestinal tract. ",9284737
1061,2,2_abstract_sentence,3,"In familial MTC, MTC is the only lesion present. ",9284737
1061,2,2_abstract_sentence,4,"Somatic RET mutations have also been identified in a subset of sporadic MTCs, pheochromocytomas, and rarely, small cell lung cancer, but not in sporadic parathyroid hyperplasias/adenomas or  other neuroendocrine tumors. ",9284737
1061,2,2_abstract_sentence,5,"Glial cell line-derived neurotrophic factor (GDNF) and its receptor molecule GDNFR-alpha, have recently been identified as members of the RET ligand binding complex. ",9284737
1061,2,2_abstract_sentence,6,"Therefore, the genes encoding both GDNF and GDNFR-alpha are excellent candidates for a role in the pathogenesis of those MEN  2 families and sporadic neuroendocrine tumors without RET mutations. ",9284737
1061,2,2_abstract_sentence,7,"No mutations were found in the coding region of GDNF in DNA samples from 9 RET mutation negative MEN 2 individuals (comprising 6 distinct families), 12 sporadic MTCs, 17 sporadic cases of parathyroid adenoma, and 10 small cell lung cancer cell lines. ",9284737
1061,2,2_abstract_sentence,8," Therefore, we find no evidence that mutation within the coding regions of GDNF plays a role in the genesis of MEN 2 and sporadic neuroendocrine tumors. ",9284737
1061,3,1_title,0,Molecular genetics of Hirschsprung disease: a model of multigenic neurocristopathy.  ,11324313
1061,3,2_abstract_sentence,0,"Hirschsprung's disease (HSCR, aganglionic megacolon) is a frequent congenital malformation regarded as a multigenic neurocristopathy. ",11324313
1061,3,2_abstract_sentence,1,"Three susceptibility genes have been recently identified in HSCR, namely the RET proto-oncogene, the endothelin B receptor (EDNRB) gene, and the endothelin 3 (EDN3) gene. ",11324313
1061,3,2_abstract_sentence,2,"RET gene mutations were found in significant proportions of familial (50%) and sporadic (15-20%) HSCR, while homozygosity for EDNRB or EDN3 mutations accounted for the rare HSCR-Waardenburg syndrome (WS) association. ",11324313
1061,3,2_abstract_sentence,3,"More recently, heterozygous EDNRB an EDN3 missense mutations have been reported in isolated HSCR patients. ",11324313
1061,3,2_abstract_sentence,4,Some of these results were obtained after the identification of mouse genes whose natural or site-directed mutations resulted in megacolon and coat color spotting. ,11324313
1061,3,2_abstract_sentence,5,There is also conclusive evidence for the involvement of other independent loci in HSCR. ,11324313
1061,3,2_abstract_sentence,6,"In particular, the recent identification of neurotrophic factors acting  as RET ligands (GDNF and Neurturin) provide additional candidate genes for HSCR. ",11324313
1061,3,2_abstract_sentence,7," The dissection of the genetic etiology of HSCR disease may then provide a unique  opportunity to distinguish between a polygenic and a genetically heterogeneous disease, thereby helping to understand other complex disorders and congenital malformations hitherto considered as multifactorial in origin. ",11324313
1061,3,2_abstract_sentence,8,"Finally, the study of the molecular bases of HSCR is also a step towards the understanding of developmental genetics of the enteric nervous system giving support to the role of the tyrosine kinase and endothelin-signaling pathways in the development of neural crest-derived enteric neurons in human. ",11324313
1061,4,1_title,0,The RET kinase inhibitor NVP-AST487 blocks growth and calcitonin gene expression  through distinct mechanisms in medullary thyroid cancer cells.  ,17638907
1061,4,2_abstract_sentence,0,The RET kinase has emerged as a promising target for the therapy of medullary thyroid cancers (MTC) and of a subset of papillary thyroid cancers. ,17638907
1061,4,2_abstract_sentence,1,"NVP-AST487, a N,N'-diphenyl urea with an IC(50) of 0.88 mumol/L on RET kinase, inhibited RET autophosphorylation and activation of downstream effectors, and potently inhibited the growth of human thyroid cancer cell lines with activating mutations of RET but not of lines without RET mutations. ",17638907
1061,4,2_abstract_sentence,2,"NVP-AST487 induced a dose-dependent growth inhibition of xenografts of NIH3T3 cells expressing oncogenic RET, and of the MTC cell line TT in nude mice. ",17638907
1061,4,2_abstract_sentence,3,"MTCs secrete calcitonin, a useful indicator of tumor burden. ",17638907
1061,4,2_abstract_sentence,4,"Human plasma calcitonin levels derived from the TT cell xenografts were inhibited shortly after treatment, when tumor volume  was still unchanged, indicating that the effects of RET kinase inhibition on calcitonin secretion were temporally dissociated from its tumor-inhibitory properties. ",17638907
1061,4,2_abstract_sentence,5,"Accordingly, NVP-AST487 inhibited calcitonin gene expression in vitro in TT cells, in part, through decreased gene transcription. ",17638907
1061,4,2_abstract_sentence,6,These data point to a previously unknown physiologic role of RET signaling on calcitonin gene expression. ,17638907
1061,4,2_abstract_sentence,7,"Indeed, the RET ligands persephin and GDNF robustly stimulated calcitonin mRNA, which was blocked by pretreatment with NVP-AST487. ",17638907
1061,4,2_abstract_sentence,8,"Antagonists of RET kinase activity in patients with MTC may result in effects on plasma calcitonin that are either disproportionate or dissociated from the effects on tumor burden, because RET kinase mediates a physiologic pathway controlling calcitonin secretion. ",17638907
1061,4,2_abstract_sentence,9,The role of traditional tumor biomarkers may need to be reassessed as targeted therapies designed against oncoproteins with key roles in  pathogenesis are implemented. ,17638907
1061,5,1_title,0,From monogenic to polygenic: model of Hirschsprung disease.  ,9885824
1061,5,2_abstract_sentence,0,"Hirschsprung's disease (HSCR, aganglionic megacolon) is a frequent congenital malformation regarded as a multigenic neurocristopathy. ",9885824
1061,5,2_abstract_sentence,1,"Three susceptibility genes have been recently identified in HSCR, namely the RET proto-oncogene, the endothelin B receptor (EDNRB) gene, and the endothelin 3 (EDN3) gene. ",9885824
1061,5,2_abstract_sentence,2,"RET gene mutations were found in significant proportions of familial (50%) and sporadic (15-20%) HSCR, while homozygosity for EDNRB or EDN3 mutations accounted for the rare HSCR-Waardenburg syndrome (WS) association. ",9885824
1061,5,2_abstract_sentence,3,"More recently, heterozygous EDNRB and EDN3 missense mutations have been reported in isolated HSCR patients. ",9885824
1061,5,2_abstract_sentence,4,Some of these results were obtained after the identification of mouse genes whose natural or site-directed mutations resulted in megacolon and coat color spotting. ,9885824
1061,5,2_abstract_sentence,5,There is also conclusive evidence for the involvement of other independent loci in HSCR. ,9885824
1061,5,2_abstract_sentence,6,"In particular, the recent identification of neurotrophic factors acting  as RET ligands (GDNF and Neurturin) provide additional candidate genes for HSCR. ",9885824
1061,5,2_abstract_sentence,7," The dissection of the genetic etiology of HSCR disease may then provide a unique  opportunity to distinguish between a polygenic and a genetically heterogeneous disease, thereby helping to understand other complex disorders and congenital malformations hitherto considered as multifactorial in origin. ",9885824
1061,5,2_abstract_sentence,8,"Finally, the study of the molecular bases of HSCR is also a step towards the understanding of developmental genetics of the enteric nervous system giving support to the role of the tyrosine kinase and endothelin-signaling pathways in the development of neural crest-derived enteric neurons in human. ",9885824
1061,6,1_title,0,GDNF availability determines enteric neuron number by controlling precursor proliferation.  ,12668632
1061,6,2_abstract_sentence,0,"To clarify the role of Ret signaling components in enteric nervous system (ENS) development, we evaluated ENS anatomy and intestinal contractility in mice heterozygous for Ret, GFRalpha1 and Ret ligands. ",12668632
1061,6,2_abstract_sentence,1,These analyses demonstrate that  glial cell line-derived neurotrophic factor (GDNF) and neurturin are important for different aspects of ENS development. ,12668632
1061,6,2_abstract_sentence,2,"Neurturin is essential for maintaining  the size of mature enteric neurons and the extent of neuronal projections, but does not influence enteric neuron number. ",12668632
1061,6,2_abstract_sentence,3,GDNF availability determines enteric neuron number by controlling ENS precursor proliferation. ,12668632
1061,6,2_abstract_sentence,4,"However, we were unable to find evidence of programmed cell death in the wild type ENS by immunohistochemistry for activated caspase 3. ",12668632
1061,6,2_abstract_sentence,5,"In addition, enteric neuron number  is normal in Bax(-/-) and Bid(-/-) mice, suggesting that, in contrast to most of  the rest of the nervous system, programmed cell death is not important for determining enteric neuron numbers. ",12668632
1061,6,2_abstract_sentence,6,Only mild reductions in neuron size and neuronal fiber counts occur in Ret(+/-) and Gfra1(+/-) mice. ,12668632
1061,6,2_abstract_sentence,7,"All of these heterozygous mice, however, have striking problems with intestinal contractility  and neurotransmitter release, demonstrating that Ret signaling is critical for both ENS structure and function. ",12668632
1061,7,1_title,0,GDNF deficit in Hirschsprung's disease.  ,9473110
1061,7,2_abstract_sentence,0,"BACKGROUND/PURPOSE: In 1996, the glial cell line-derived neurotrophic factor (GDNF) was identified as one of the ligands of the RET transmembrane receptor. ",9473110
1061,7,2_abstract_sentence,1,"In the same year, GDNF mutations were found in association with RET protooncogene mutations in Hirschsprung patients. ",9473110
1061,7,2_abstract_sentence,2,Mutations in GDNF per se are thought neither  necessary nor sufficient to cause Hirschsprung's disease (HD). ,9473110
1061,7,2_abstract_sentence,3,"To date, our study group has identified GDNF mutations only in 2 of 98 cases of intestinal dysganglionosis. ",9473110
1061,7,2_abstract_sentence,4,The aim of our study was to investigate a possible expression deficit of GDNF in the enteric nervous system of Hirschsprung patients not mutated for the GDNF gene. ,9473110
1061,7,2_abstract_sentence,5,METHODS: We used rabbit polyclonal antibodies raised against a peptide corresponding to amino acids 186-205 mapping within the carboxy-terminal domain of human GDNF. ,9473110
1061,7,2_abstract_sentence,6,GDNF expression was studied immunohistochemically in surgical specimens from 30 HD cases (27 classic forms and 3 ultralong forms) and from 10 age-matched controls. ,9473110
1061,7,2_abstract_sentence,7,"Serial sections from the same full-thickness specimens were investigated with the following histochemical and immunohistochemical techniques: acetylcholinesterase, lactate dehydrogenase, succinic dehydrogenase, alpha-naphthyl-esterase, glial fibrillary acid protein, S-100 protein, and neuron-specific enolase. ",9473110
1061,7,2_abstract_sentence,8,RESULTS: A high level of GDNF expression was found in normal intestine and in Hirschsprung ganglionic segment. ,9473110
1061,7,2_abstract_sentence,9,Satellite elements of myenteric ganglia presented a strong immunoreactivity to GDNF. ,9473110
1061,7,2_abstract_sentence,10,"Conversely, the aganglionic segment  showed cholinergic hyperinnervation and hypertrophic trunks of nerve fibers in the muscular interstitium with complete absence of GDNF expression. ",9473110
1061,7,2_abstract_sentence,11,The small ganglia of the hypoganglionic segment showed a reduced GDNF immunoreactivity. ,9473110
1061,7,2_abstract_sentence,12,"CONCLUSIONS: GDNF, a distantly related member of the transforming growth factor-beta superfamily, is a potent neurotrophic and survival factor for neurons and enteric ganglion cells. ",9473110
1061,7,2_abstract_sentence,13,"Mutations of the GDNF gene or GDNF expression deficit interrupt the faithful GDNF signaling via Ret, contributing to HD pathogenesis. ",9473110
1061,8,1_title,0,Differential effects of glial cell line-derived neurotrophic factor and neurturin in RET/GFRalpha1-expressing cells.  ,16294336
1061,8,2_abstract_sentence,0,"The c-ret protooncogene, RET, encodes a receptor tyrosine kinase. ",16294336
1061,8,2_abstract_sentence,1,"RET is activated by members of the glial cell line-derived neurotrophic factor (GDNF) family of ligands, which include GDNF, neurturin, artemin, and persephin. ",16294336
1061,8,2_abstract_sentence,2,"The ligands bind RET through GDNF family receptor alpha, termed GFRalpha1-4. ",16294336
1061,8,2_abstract_sentence,3,"Despite  the importance of RET signaling in the development of the enteric nervous system  and the kidney, the differential signaling mechanisms between RET ligands are poorly established. ",16294336
1061,8,2_abstract_sentence,4,It has been suggested that signal specificity is achieved through binding of the ligand to its preferred GFRalpha. ,16294336
1061,8,2_abstract_sentence,5,"To compare the signaling profiles of GDNF and neurturin, we have identified a cell line, NG108-15, which endogenously expresses RET and GFRalpha1 but not GFRalpha2-4. ",16294336
1061,8,2_abstract_sentence,6,"Immunoblot data showed that GDNF caused a transient activation, whereas neurturin caused a sustained activation, of both p44/p42 MAP kinases and PLCgamma. ",16294336
1061,8,2_abstract_sentence,7,"Under serum starvation, NG108-15 cells differentiate and form neurites. ",16294336
1061,8,2_abstract_sentence,8,"Neurturin but not GDNF stimulated neurite outgrowth, which could be blocked by the selective PLC inhibitor U73122. ",16294336
1061,8,2_abstract_sentence,9,"On the other hand, GDNF but not neurturin promoted cell survival, and this could be blocked by the p44/p42 MAP kinase inhibitor PD98059. ",16294336
1061,8,2_abstract_sentence,10," Our findings not only show the differential signaling of GDNF and neurturin but also suggest that this can be achieved through binding to the same GFRalpha subtype, leading to distinct biological responses. ",16294336
1061,9,1_title,0,Genetics of Hirschsprung disease.  ,11106284
1061,9,2_abstract_sentence,0,"Hirschsprung disease (HSCR), or congenital intestinal aganglionosis, is a relatively common disorder of neural crest migration. ",11106284
1061,9,2_abstract_sentence,1,"It has a strong genetic basis, although simple Mendelian inheritance is rarely observed. ",11106284
1061,9,2_abstract_sentence,2,"Hirschsprung disease is associated with several other anomalies and syndromes, and animal models for these conditions exist. ",11106284
1061,9,2_abstract_sentence,3,Mutations in the RET gene are responsible for  approximately half of familial cases and a smaller fraction of sporadic cases. ,11106284
1061,9,2_abstract_sentence,4,"Mutations in genes that encode RET ligands (GDNF and NTN); components of another  signaling pathway (EDNRB, EDN3, ECE-1); and the transcription factor, SOX10, have been identified in HSCR patients. ",11106284
1061,9,2_abstract_sentence,5,A subset of these mutations is associated with  anomalies of pigmentation and/or hearing loss. ,11106284
1061,9,2_abstract_sentence,6,"For almost every HSCR gene, incomplete penetrance of the HSCR phenotype has been observed, probably due to genetic modifier loci. ",11106284
1061,9,2_abstract_sentence,7,"Thus, HSCR has become a model of a complex polygenic disorder in which the interplay of different genes is currently being elucidated. ",11106284
1061,10,1_title,0,A GPI-linked protein that interacts with Ret to form a candidate neurturin receptor.  ,9192898
1061,10,2_abstract_sentence,0,Erratum in     Nature 1998 Mar 12;392(6672):210. ,9192898
1061,11,1_title,0,GDNF: a novel factor with therapeutic potential for neurodegenerative disorders.  ,10321971
1061,11,2_abstract_sentence,0,The identification of novel factors that promote neuronal survival could have profound effects on developing new therapeutics for neurodegenerative disorders. ,10321971
1061,11,2_abstract_sentence,1, Glial cell line-derived neurotrophic factor (GDNF) is a novel protein purified and cloned based on its marked ability to promote dopaminergic neuronal function. ,10321971
1061,11,2_abstract_sentence,2,"GDNF, now known to be the first identified member of a family of factors, signals through the previously known receptor tyrosine kinase, Ret. ",10321971
1061,11,2_abstract_sentence,3,"Unlike most ligands for receptor tyrosine kinases, GDNF does not bind and activate Ret directly, but  requires the presence of GPI-linked coreceptors. ",10321971
1061,11,2_abstract_sentence,4,There are several coreceptors with differing affinities for the GDNF family members. ,10321971
1061,11,2_abstract_sentence,5,The profile of coreceptors in a cell may determine which factor preferentially activates Ret. ,10321971
1061,11,2_abstract_sentence,6,"In vivo differences in localization of the GDNF family members, its coreceptors and Ret suggest this ligand/receptor interaction has extensive and multiple functions in  the CNS as well as in peripheral tissues. ",10321971
1061,11,2_abstract_sentence,7,GDNF promotes survival of several neuronal populations both in vitro and in vivo. ,10321971
1061,11,2_abstract_sentence,8,Dopaminergic neuronal survival and function are preserved by GDNF in vivo when challenged by the toxins MPTP and 6-hydroxydopamine. ,10321971
1061,11,2_abstract_sentence,9,"Furthermore, GDNF improves the symptoms of pharmacologically induced Parkinson's disease in monkeys. ",10321971
1061,11,2_abstract_sentence,10,Several motor neuron populations isolated in vitro are also rescued by GDNF. ,10321971
1061,11,2_abstract_sentence,11,"In vivo, GDNF protects these neurons from programmed cell death associated with development and death induced by neuronal transection. ",10321971
1061,11,2_abstract_sentence,12,These experiments suggest that GDNF may provide significant therapeutic opportunities in several neurodegenerative disorders. ,10321971
1061,12,1_title,0,Mechanisms of development of multiple endocrine neoplasia type 2 and Hirschsprung's disease by ret mutations.  ,10027003
1061,12,2_abstract_sentence,0,The ret proto-oncogene encodes a receptor tyrosine kinase whose ligands belong to the glial cell line-derived neurotrophic factor (GDNF) protein family. ,10027003
1061,12,2_abstract_sentence,1,Its germline mutations are responsible for the development of multiple endocrine neoplasia (MEN) types 2A and 2B and Hirschsprung's disease (HSCR). ,10027003
1061,12,2_abstract_sentence,2,MEN2A and MEN2B mutations result in the constitutive activation of Ret by different molecular mechanisms. ,10027003
1061,12,2_abstract_sentence,3,MEN2A mutations involve cysteine residues present in the Ret extracellular domain and induce disulfide-linked Ret dimerization on the cell surface. ,10027003
1061,12,2_abstract_sentence,4,"MEN2B mutations were identified in methionine 918 in the tyrosine kinase domain and activate Ret without dimerization, probably due to a conformational change of its catalytic core region. ",10027003
1061,12,2_abstract_sentence,5,"In contrast to MEN2 mutations, HSCR mutations represent loss of function mutations. ",10027003
1061,12,2_abstract_sentence,6,We found that most of HSCR mutations detected in the extracellular domain impair the Ret cell surface expression. ,10027003
1061,12,2_abstract_sentence,7,"More interestingly, ret mutations in cysteines 618 and 620 were reported in several families who developed both MEN2A and HSCR. ",10027003
1061,12,2_abstract_sentence,8,"It was suggested  that these mutations might have two biological effects on Ret function, leading to the development of different clinical phenotypes in the same patients. ",10027003
1061,13,1_title,0,Cloning and characterization of the human GFRA2 locus and investigation of the gene in Hirschsprung disease.  ,11409869
