question,document,type,order,text
1061,0,0_question,0,Which proteins have been identified as RET ligands?
235,0,0_question,0,"What is the causative agent of the ""Panama disease"" affecting bananas?"
1096,0,0_question,0,Which is the main target of the anti-arrhythmic activity of flecainide?
905,0,0_question,0,Are viruses involved in the etiology of human subacute thyroiditis?
2763,0,0_question,0,Which type of sarcoma has been associated with members of the oral microbiome?
2895,0,0_question,0,What is ferroptosis?
960,0,0_question,0,Which gene is associated with Muenke syndrome?
144,0,0_question,0,What is the COUGER tool?
129,0,0_question,0,Is amantadine effective for treatment of disorders conciousness?
2797,0,0_question,0,Does vesatolimod inhibit TLR7?
2556,0,0_question,0,Describe RIblast
1202,0,0_question,0,Elaborate on the TREAT-NMD initiative for DMD patients
1300,0,0_question,0,What is known about diseases associated with mutations in the CHCHD10 gene?
1278,0,0_question,0,Is there evidence for de novo genesis of enhancers in vertebrates?
357,0,0_question,0,What is the mechanism of DNA replication termination in vertebrates?
2962,0,0_question,0,List STING agonists.
2516,0,0_question,0,Which personality disorder is treated using dialectical behavior therapy?
2955,0,0_question,0,Which two surgical methods were compared in the RAZOR trial?
252,0,0_question,0,Which signalling pathway is involved in Tuberous Sclerosis?
668,0,0_question,0,What pharmacological and non-pharmacological interventions can be considered as prophylactic therapies in Cluster Headache patients?
2446,0,0_question,0,Which algorithm has been developed in order to improve multiple circular sequence alignment using refined sequences?
562,0,0_question,0,Which antiepileptic drug is most strongly associated with spina bifida? 
2628,0,0_question,0,Describe mechanism of action of Romosozumab.
3049,0,0_question,0,Is there any approved treatment for NAFLD?
753,0,0_question,0,Which enzyme is deficient in Gaucher's disease?
1527,0,0_question,0,Which hormone abnormalities are common in Williams syndrome
1888,0,0_question,0,List the three most abundant bacterial phyla present in mouse feces.
1110,0,0_question,0,Describe Malgaigne fracture.
2189,0,0_question,0,"Angelman syndrome is associated with deletion of a part of Chromosome 15 but if the deletion occurs in the paternally inherited chromosome 15, what is the disease?"
2025,0,0_question,0,Is the enzyme EPRS phosphorylated?
